dataset,none_correct,none_total,none_accuracy,context_correct,context_total,context_accuracy,delta_correct,delta_accuracy,recovered,harmed
arc_challenge,28,30,0.933333,26,30,0.866667,-2,-0.066667,MDSA_2007_4_52,NAEP_2005_8_S11+14 Mercury_192290 Mercury_405454
openbookqa,28,30,0.933333,26,30,0.866667,-2,-0.066667,,9-1126 7-847
gsm8k,6,30,0.200000,6,30,0.200000,0,0.000000,25 29,13 14
mmlu_pro,13,30,0.433333,11,30,0.366667,-2,-0.066667,90 91,75 85 87 95
math,5,30,0.166667,3,30,0.100000,-2,-0.066667,intermediate_algebra:3,algebra:1 counting_and_probability:7 geometry:1
svamp,20,30,0.666667,11,30,0.366667,-9,-0.300000,,chal-162 chal-390 chal-781 chal-955 chal-666 chal-655 chal-430 chal-485 chal-883
asdiv,26,30,0.866667,26,30,0.866667,0,0.000000,25,20
aqua,13,30,0.433333,6,30,0.200000,-7,-0.233333,8 22,3 6 7 14 15 17 23 25 27
mawps,18,30,0.600000,18,30,0.600000,0,0.000000,mawps__bSkyQkkmfuXYjL9Z,mawps__n1AoPOyhCUa26LO3
csqa,19,30,0.633333,18,30,0.600000,-1,-0.033333,9889e5389917d812c09d6e5d382d333d,3b8e1d236f5169b6c833a994d6d9c39a b8b287b6277fccd4b7c9c72577177328
strategyqa,19,30,0.633333,16,30,0.533333,-3,-0.100000,d912709b7341dd86ba39 fc3a305f513090432212 e201b35fd4c6f00aa5ae,7571100f05bc56919c78 07e2a845709bbcb30b65 b3c5d591c696cda63e48 2bec732d14cf2b289435 e32529b0074a1b857a85 0d22526961c82ad6ef4a
bbh_date,19,30,0.633333,17,30,0.566667,-2,-0.066667,7 27,5 16 17 24
bbh_sports,17,30,0.566667,16,30,0.533333,-1,-0.033333,7 11 13 14 17 21 22 30,2 5 6 8 16 18 19 20 27
saycan,0,30,0.000000,0,30,0.000000,0,0.000000,,
last_letter,0,30,0.000000,0,30,0.000000,0,0.000000,,
coin_flip,19,30,0.633333,13,30,0.433333,-6,-0.200000,4 8 9 10 11 15 17 18 26 28,1 2 5 6 7 12 13 14 16 19 22 24 25 27 29 30
